,champion,gameId,lane,platformId,queue,role,season,timestamp
40,875,4717662957,NONE,KR,420,DUO_SUPPORT,13,1602689345627
41,432,4717622615,BOTTOM,KR,420,DUO_SUPPORT,13,1602686031743
42,432,4717254498,BOTTOM,KR,420,DUO_SUPPORT,13,1602683647170
43,350,4717055322,TOP,KR,420,SOLO,13,1602678540149
44,80,4716956392,BOTTOM,KR,420,DUO_SUPPORT,13,1602676055447
45,80,4716808732,BOTTOM,KR,420,DUO_SUPPORT,13,1602673556176
46,25,4714681573,BOTTOM,KR,420,DUO_SUPPORT,13,1602588667705
47,432,4714631687,BOTTOM,KR,420,DUO_SUPPORT,13,1602585817418
48,121,4714459809,TOP,KR,450,DUO_SUPPORT,13,1602581089575
49,80,4714394612,NONE,KR,420,DUO_SUPPORT,13,1602578341365
50,111,4714359395,BOTTOM,KR,420,DUO_SUPPORT,13,1602576669642
51,80,4714314358,BOTTOM,KR,420,DUO_SUPPORT,13,1602574111598
52,12,4714177690,BOTTOM,KR,420,DUO_SUPPORT,13,1602570590447
53,555,4714160944,BOTTOM,KR,420,DUO_SUPPORT,13,1602567321630
54,80,4714075545,BOTTOM,KR,420,DUO_SUPPORT,13,1602564662437
55,115,4714112515,NONE,KR,450,DUO_SUPPORT,13,1602563480193
56,412,4711064269,BOTTOM,KR,420,DUO_SUPPORT,13,1602421151984
57,432,4711056710,NONE,KR,420,DUO_SUPPORT,13,1602419657743
58,432,4710565346,BOTTOM,KR,420,DUO_SUPPORT,13,1602407857786
59,25,4710409396,NONE,KR,420,DUO_SUPPORT,13,1602406080282
60,80,4710159451,BOTTOM,KR,420,DUO_SUPPORT,13,1602403563850
61,412,4709969945,NONE,KR,420,DUO_SUPPORT,13,1602400515747
62,432,4709929650,BOTTOM,KR,420,DUO_SUPPORT,13,1602398013581
63,51,4709924050,MID,KR,450,DUO,13,1602396175446
64,12,4708868711,BOTTOM,KR,420,DUO_SUPPORT,13,1602341459846
65,555,4708892157,BOTTOM,KR,420,DUO_SUPPORT,13,1602339912913
66,432,4708774092,MID,KR,420,SOLO,13,1602337983113
67,497,4708646439,BOTTOM,KR,420,DUO_SUPPORT,13,1602336204277
68,235,4708179433,BOTTOM,KR,420,DUO_SUPPORT,13,1602332099932
69,117,4708147937,NONE,KR,420,DUO_SUPPORT,13,1602329331569
70,235,4707978179,MID,KR,420,DUO,13,1602326336101
71,236,4708051290,NONE,KR,900,DUO_SUPPORT,13,1602324395438
72,117,4696966870,TOP,KR,420,DUO,13,1601897465572
73,516,4696946548,NONE,KR,420,DUO_SUPPORT,13,1601894940426
74,117,4696950636,TOP,KR,420,SOLO,13,1601892799179
75,350,4696353662,NONE,KR,420,DUO_SUPPORT,13,1601877139563
76,236,4696310375,NONE,KR,900,DUO,13,1601875317467
77,42,4696087571,NONE,KR,450,DUO,13,1601873853536
78,497,4683874098,BOTTOM,KR,420,DUO_SUPPORT,13,1601468233321
79,555,4683710938,BOTTOM,KR,420,DUO_SUPPORT,13,1601464984550
80,80,4683474843,NONE,KR,420,DUO_SUPPORT,13,1601460121488
81,432,4683427937,BOTTOM,KR,420,DUO_SUPPORT,13,1601458027992
82,12,4683400600,BOTTOM,KR,420,DUO_SUPPORT,13,1601455698563
83,117,4683264144,TOP,KR,420,SOLO,13,1601453767576
84,412,4683167600,NONE,KR,420,DUO_SUPPORT,13,1601451891186
85,80,4683211141,BOTTOM,KR,420,SOLO,13,1601450070896
86,98,4683132448,BOTTOM,KR,420,SOLO,13,1601447517005
87,555,4683034683,MID,KR,420,DUO_SUPPORT,13,1601445169367
88,25,4681324896,BOTTOM,KR,420,DUO_SUPPORT,13,1601388137924
89,99,4681222382,BOTTOM,KR,420,DUO_SUPPORT,13,1601385324688
90,555,4681103072,BOTTOM,KR,420,SOLO,13,1601382936765
91,117,4681043893,BOTTOM,KR,420,DUO_SUPPORT,13,1601380971434
92,80,4680891640,BOTTOM,KR,420,DUO_SUPPORT,13,1601377195298
93,111,4680854183,BOTTOM,KR,420,DUO_SUPPORT,13,1601375167139
94,80,4680680759,BOTTOM,KR,420,DUO_SUPPORT,13,1601369931732
95,412,4680625110,BOTTOM,KR,420,DUO_SUPPORT,13,1601368280641
96,497,4680238336,BOTTOM,KR,420,DUO_SUPPORT,13,1601365217063
97,80,4680281291,BOTTOM,KR,420,DUO_SUPPORT,13,1601362747481
98,497,4680162806,BOTTOM,KR,420,SOLO,13,1601359812858
99,80,4680058172,NONE,KR,420,DUO_SUPPORT,13,1601357983456
