,tier,leaguePoints,summonerId,summonerName,account_id
49,CHALLENGER,968,3vn09Sbv0m5frdbGljNTaxxgUzLt6cA_pvVlOvIpQryHwqM,yinyi zai ma ren,aNBKRLJPZ9jP8P9AtASZ9Niqjv3UsfK08IcEqf60XeCy1Oj52SN6PBO4
50,CHALLENGER,1001,xp9nXteiOilPqJwdXLcxheFhlWdQnWPlEuVXnGmzSJ0UBg,doguman,P5N8Aqn58vOk6qKfmo4DBVGiGIj37D1aCtki1tOuIF77
51,CHALLENGER,1008,Slwkh-1VBOJWN07Z6KRcPQ5kZP5cD0tlamu-87TlwYQlVRI,KT Ucal,1_mJumAPc6-jMdV7Xorkpe0_gPE8_zHBfeZjt8hVQFfboEU
52,CHALLENGER,873,pDwmc1_7TS4kW5AlBW4g3NCeRZLJfaF8pc9MR32d1GIP57Y,EM 강타자,xI0yMMoXbDuvRzO1kSvqwcTRDbsX3jhHHis4wXaq49JwnXY
53,CHALLENGER,1254,AMX6oKb-kmPWp8fjjKvbZhRZy2EKHw4BCERP218gHEnHmSk,T1 Oner,eGkig5NkbF-Am0rxMSNMYkh-efTzUSAMtW_g98KI9m59vHE
54,CHALLENGER,860,mHclBQec6FOFMRr2InYKayWg6tdHLEjE521UVpCRxq2HkiI,Haithegioi,w7Xt6_GusqNr8G7sPpMgspg1ONm50k1pxF1LdEdl_gCxEsRDIq2z-Ygw
55,CHALLENGER,889,FxQLaXKmW0nY1ZNYbX_v3WY_63VaHDimk-5PcJBPCWiaJQE,KTB SUP,_0_ojDzZNaAdMc8i24ty6jXHKYzjT0WlIcKlTTtFy0rCPrU
56,CHALLENGER,898,AWQPDsEi4r3-IhWRZ3wY-kkqWjip-edvevSye3FXp97wGA,eren헌터,gdKhgk7vn7YLH6RZ_WBXh6rDfYBg8U8N6OPdqYHmWhhP
57,CHALLENGER,1442,LzeGAOkcOA52eQLH-S5qhW-lDK8BggPbFurLF7bpgnIt71o,T1 제우스,JkL9YQQFGinBaurWQlxiW0pMVlHskcsOc9FUclvyVlV2XeY
58,CHALLENGER,1064,9f6ie_dd2AyBeLav2PCN10mNzg82e1sVGb34aElRjjMfClQ,이도류,bXRGzowlVJGWSZO6wh68RHEQoSxq3YFS7mxFYceyi_Hvc1Y
59,CHALLENGER,1188,gYgOVgGlgBz1xA7eTBVK0ydLkED5GFVTLAXjIWtQke9pW1s,T1 Burdol,QgPhvHDnYUy5Ii2IGUr28mWYnYDz6mhGSSKrl0rz5Td8g2g
60,CHALLENGER,906,r2gHcktogMYrTunhEZTdT7uFTiU8xnoHg2BeQYCGUMqePj0,V5zhao874906839,nvD1OtSI5BlqBRQdpd7jvkNuoeXQMz8GjQJqI7a3DIopr1lJMOS2CHke
61,CHALLENGER,982,HQi1T0KFY13QWSNsTbpFpryxAxkUvEtz4m6ffLL8qlyi1YU,말을잘못하는사람,WJH-F_b2HCVFVrqm_H7AWtUdSD9oh4tlhq2qW-fLk-W1fIE
62,CHALLENGER,1066,NwOkQ45lS74IYdW9WHp-lpsY-5epK7bDu5n747Mh8erR6mQ,SANDBOX Kabbie,xEnW1EcuzAuc3G-XPotcIJVW-azhii1alwULWmJWXDp4lFc
63,CHALLENGER,1065,8kE-aO_Q7SImxJf7AJLoJDLLO52bd35mOvaquNmURBSjIdk,Mango Fish,CRn4aHNEWt3Y4f_j2J5RbGSkjA6F9bVG4glKcGYrbuv1gb0z9tiIZ24x
64,CHALLENGER,859,vROXXI1e6WMgQaFaTTt7ZeC3RuhT6HJ6mqIHLHwGLavfd2k,YeoPuuu,MgRTS9onqFoeAKljvddYt3IUsDVadDHyZBEnvu3UYWF4uwY
65,CHALLENGER,847,wxAW4Wtu8vfL6TyJmo6raGBLR7EWEp65WJEC08BEPqmVNVw,get0n,ERhRp95mBxGH0G4ByTW2QMOECkN25jrlyHKKBSTDVQ7BIrE
66,CHALLENGER,853,Y1N32_NBqLAKgRtPNi6FGRsfbckQyiaw1_r0OAIyKFfO6ts,남탓제발그만해,Dabsaz-Ag__ydVNeo0S1byMQzQhjRUk8QPWg7jlA-gL1MPA
67,CHALLENGER,1138,_4hflME1w9U9QjBFqIwrdB7qXGrDijt-zJOfR5XKHijFeVU,다없수질,N-TLDXHgwhgzwPy0DBTkPLvPxJYFPf9aVf_Mp-ZlrfaCMdI
68,CHALLENGER,852,M9df7NocGLmHR1f-a83xi4pPW0eC2-3JodpoLw-hQdS_3NE,Big buttocks,CZ2JTyIm0ex1mfMwmA2o5nXP0yT8UJ5b8Zt0EH4fCFamSsN_yzwXVFRG
69,CHALLENGER,1129,npTELIrOP5WAL8f8amhrGDAO7KWbJpv9Nyk34fDPKFaGalo,FA Mlnit,enEQFnJGyIy4GLk9bSBUpN54hX6L7a8vaXGu05I3yrMKfcg
70,CHALLENGER,1210,6C765HfXtonysHslFZWrF2KpsuBlA0CxjK6E-btY3B4RwuI,deokdam,-nV8uVZX-2-UGuUCsMHz3bgDsCoTrHuCorwFICQwmp1b2QI
71,CHALLENGER,1003,VDlvpYvs1I5dtYS7SMiox1qCw47GI3gilZUz-3XI5PiieDs,엘 림,j-1I4pBR1x_O-sxLI9VpBpaO4cWclEkGIyAgLXdPcKwii-0
72,CHALLENGER,1034,gvKZg9FTbh4on3IaKEbtigrJgAXT9T0K-S8BXqi0S8WqdkU,RW Ruby,bSICbnaty1qbd-YE8F2dlJlHJz6IP55rtnwStDXfnvCuHDc
